experiment	strain	inoc_cfu	minweight	correct_noise	anal_folder
P4C1T8	c1_ST1	100000000	0.03	0.01	min03_noise01
P4C1T8	c1_ST2	100000000	0.03	0.01	min03_noise01
P4C1T8	c1_ST5	100000000	0.03	0.01	min03_noise01
P4C1T8	c1_ST6	100000000	0.03	0.01	min03_noise01
P4C1T8	c2_ST1	1000000	0.03	0.01	min03_noise01
P4C1T8	c2_ST2	1000000	0.03	0.01	min03_noise01
P4C1T8	c2_ST5	1000000	0.03	0.01	min03_noise01
P4C1T8	c2_ST6	1000000	0.03	0.01	min03_noise01
P4C1T8	c3_ST1	10000	0.03	0.01	min03_noise01
P4C1T8	c3_ST2	10000	0.03	0.01	min03_noise01
P4C1T8	c3_ST5	10000	0.03	0.01	min03_noise01
P4C1T8	c3_ST6	10000	0.03	0.01	min03_noise01
P4C1T8	c4_ST1	100	0.03	0.01	min03_noise01
P4C1T8	c4_ST2	100	0.03	0.01	min03_noise01
P4C1T8	c4_ST5	100	0.03	0.01	min03_noise01
P4C1T8	c4_ST6	100	0.03	0.01	min03_noise01
P4C1T8	c5_ST1	1000000	0.03	0.01	min03_noise01
P4C1T8	c5_ST2	1000000	0.03	0.01	min03_noise01
P4C1T8	c5_ST4	1000000	0.03	0.01	min03_noise01
