Sample,Group,Order,BioSample
s100_SI.DNA,1,8,P4C1T8-cage1
s109_Cecum.DNA,1,2,P4C1T8-cage1
s110_Cecum.DNA,1,9,P4C1T8-cage1
s119_Pr..Colon.DNA,1,3,P4C1T8-cage1
s120_Pr..Colon.DNA,1,10,P4C1T8-cage1
s19_stool.DNA,1,4,P4C1T8-cage1
s20_stool.DNA,1,11,P4C1T8-cage1
s29_stool.DNA,1,5,P4C1T8-cage1
s30_stool.DNA,1,12,P4C1T8-cage1
s39_stool.DNA,1,6,P4C1T8-cage1
s40_stool.DNA,1,13,P4C1T8-cage1
s49_stool.DNA,1,7,P4C1T8-cage1
s50_stool.DNA,1,14,P4C1T8-cage1
s99_SI.DNA,1,1,P4C1T8-cage1
NTC_H3_NTC,1,15,P4C1T8-cage1
WATER_B3_WATER,1,16,P4C1T8-cage1
WATER_C6_WATER,1,17,P4C1T8-cage1
WATER_D2_WATER,1,18,P4C1T8-cage1
WATER_F9_WATER,1,19,P4C1T8-cage1
