project	sample_id	sample_type	date_collected	time_point_h	cage_id	mouse_type	pretreatment	mouse_id	gender	gavage_dose_200ul	strain_bcs	strains	tube_type	tube_weight_empty	tube_weight_full	stool_weight_mg	cfu_g_stool	cfu_incubation_time	dna_conc_ng_ul	dna_conc_ng_ul
P4C3T1	s1	stool DNA		5 h	cage1	germ_free	None	mA	female	10^8	ST1a|ST2d	E. coli|E.coli	2ml_screwcap	1643.5	1681.8	38.3			-1.2214085	1.80957746
P4C3T1	s2	stool CFU		5 h	cage1	germ_free	None	mA	female	10^8	ST1a|ST2d	E. coli|E.coli	2ml_screwcap	1735.9	1775.4	39.5			#N/A	#N/A
P4C3T1	s3	stool DNA		5 h	cage2	germ_free	None	mA	female	10^8	ST1a|ST2d	E. coli|E.coli	2ml_screwcap	1659.5	1707.5	48			-0.9453521	1.42084507
P4C3T1	s4	stool CFU		5 h	cage2	germ_free	None	mA	female	10^8	ST1a|ST2d	E. coli|E.coli	2ml_screwcap	1689.5	1749.3	59.8			#N/A	#N/A
P4C3T1	s5	stool DNA		5 h	cage3	germ_free	None	mA	female	10^6	ST1a|ST2d	E. coli|E.coli	2ml_screwcap	1706.8	1744.8	38			-1.1594366	1.79267606
P4C3T1	s6	stool CFU		5 h	cage3	germ_free	None	mA	female	10^6	ST1a|ST2d	E. coli|E.coli	2ml_screwcap	1766.6	1819.8	53.2			#N/A	#N/A
P4C3T1	s7	stool DNA		5 h	cage4	germ_free	None	mA	female	10^6	ST1a|ST2d	E. coli|E.coli	2ml_screwcap	1686.6	1744.6	58			-0.8101408	1.71380282
P4C3T1	s8	stool CFU		5 h	cage4	germ_free	None	mA	female	10^6	ST1a|ST2d	E. coli|E.coli	2ml_screwcap	1747.5	1792.5	45			#N/A	#N/A
P4C3T1	s9	stool DNA		5 h	cage5	germ_free	None	mA	female	10^4	ST1a|ST2d	E. coli|E.coli	2ml_screwcap	1684.1	1686.5	2.4			#N/A	#N/A
P4C3T1	s10	stool CFU		5 h	cage5	germ_free	None	mA	female	10^4	ST1a|ST2d	E. coli|E.coli	2ml_screwcap	1782.6	1783.6	1			#N/A	#N/A
P4C3T1	s11	stool DNA		5 h	cage6	germ_free	None	mA	female	10^4	ST1a|ST2d	E. coli|E.coli	2ml_screwcap	1693.7	1729.5	35.8			1.8828169	2.19830986
P4C3T1	s12	stool CFU		5 h	cage6	germ_free	None	mA	female	10^4	ST1a|ST2d	E. coli|E.coli	2ml_screwcap	1709.5	1726.2	16.7			#N/A	#N/A
P4C3T1	s13	stool DNA		24 h	cage1	germ_free	None	mA	female	10^8	ST1a|ST2d	E. coli|E.coli	2ml_screwcap	1682.6	1717.6	35			1.59549296	10.936338
P4C3T1	s14	stool CFU		24 h	cage1	germ_free	None	mA	female	10^8	ST1a|ST2d	E. coli|E.coli	2ml_screwcap	1797	1841.6	44.6			#N/A	#N/A
P4C3T1	s15	stool DNA		24 h	cage2	germ_free	None	mA	female	10^8	ST1a|ST2d	E. coli|E.coli	2ml_screwcap	1663.8	1706.1	42.3			2.14929577	8.14197183
P4C3T1	s16	stool CFU		24 h	cage2	germ_free	None	mA	female	10^8	ST1a|ST2d	E. coli|E.coli	2ml_screwcap	1747	1778.5	31.5			#N/A	#N/A
P4C3T1	s17	stool DNA		24 h	cage3	germ_free	None	mA	female	10^6	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T1	s18	stool CFU		24 h	cage3	germ_free	None	mA	female	10^6	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T1	s19	stool DNA		24 h	cage4	germ_free	None	mA	female	10^6	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T1	s20	stool CFU		24 h	cage4	germ_free	None	mA	female	10^6	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T1	s21	stool DNA		24 h	cage5	germ_free	None	mA	female	10^4	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T1	s22	stool CFU		24 h	cage5	germ_free	None	mA	female	10^4	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T1	s23	stool DNA		24 h	cage6	germ_free	None	mA	female	10^4	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T1	s24	stool CFU		24 h	cage6	germ_free	None	mA	female	10^4	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T1	s25	SI DNA		24 h	cage1	germ_free	None	mA	female	10^8	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T1	s26	SI CFU		24 h	cage1	germ_free	None	mA	female	10^8	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T1	s27	SI DNA		24 h	cage2	germ_free	None	mA	female	10^8	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T1	s28	SI CFU		24 h	cage2	germ_free	None	mA	female	10^8	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T1	s29	SI DNA		24 h	cage3	germ_free	None	mA	female	10^6	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
